AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE2 TC SPEED:2748:RPM:Average:3600;testAE2 TC SPEED:2748:RPM:Average:3600
AE2 TC SPEED:2748:RPM:Average:900;testAE2 TC SPEED:2748:RPM:Average:900
AE2 TC SPEED:2748:RPM:Raw data:900;testAE2 TC SPEED:2748:RPM:Raw data:900
AE2 VOLTAGE:5521:V:Average:900;testAE2 VOLTAGE:5521:V:Average:900
AE2/4 HT PREH PUMP:64154:nan:Average:900;testAE2/4 HT PREH PUMP:64154:nan:Average:900
AE3 CA OTL CAC PRESS:3649:Bar:Average:900;testAE3 CA OTL CAC PRESS:3649:Bar:Average:900
AE3 CA OTL CAC TEMP:3654:  C:Average:900;testAE3 CA OTL CAC TEMP:3654:  C:Average:900
AE3 CAC PRESS DIFF:3652:mBar:Average:900;testAE3 CAC PRESS DIFF:3652:mBar:Average:900
AE3 CYL EXHAUST T:3501_S:C:Average:900;testAE3 CYL EXHAUST T:3501_S:C:Average:900
AE3 CYL1 LINER 1 TEM:3701:  C:Average:900;testAE3 CYL1 LINER 1 TEM:3701:  C:Average:900
AE3 CYL1 LINER 1 TEM:3703:-:Average:900;testAE3 CYL1 LINER 1 TEM:3703:-:Average:900
AE3 CYL1 LINER 2 TEM:3704:  C:Average:900;testAE3 CYL1 LINER 2 TEM:3704:  C:Average:900
AE3 CYL1 LINER 2 TEM:3706:-:Average:900;testAE3 CYL1 LINER 2 TEM:3706:-:Average:900
AE3 CYL1 VC EXH TEMP:3501:  C:Average:900;testAE3 CYL1 VC EXH TEMP:3501:  C:Average:900
AE3 CYL1 VD EXH TEMP:3502:  C:Average:900;testAE3 CYL1 VD EXH TEMP:3502:  C:Average:900
AE3 CYL2 LINER 1 TEM:3707:  C:Average:900;testAE3 CYL2 LINER 1 TEM:3707:  C:Average:900
AE3 CYL2 LINER 1 TEM:3709:-:Average:900;testAE3 CYL2 LINER 1 TEM:3709:-:Average:900
AE3 CYL2 LINER 2 TEM:3711:  C:Average:900;testAE3 CYL2 LINER 2 TEM:3711:  C:Average:900
AE3 CYL2 LINER 2 TEM:3713:-:Average:900;testAE3 CYL2 LINER 2 TEM:3713:-:Average:900
AE3 CYL2 VC EXH TEMP:3503:  C:Average:900;testAE3 CYL2 VC EXH TEMP:3503:  C:Average:900
AE3 CYL2 VD EXH TEMP:3504:  C:Average:900;testAE3 CYL2 VD EXH TEMP:3504:  C:Average:900
AE3 CYL3 LINER 1 TEM:3714:  C:Average:900;testAE3 CYL3 LINER 1 TEM:3714:  C:Average:900
